,caseid,midprice
1,143,3.317996481345043
2,144,3.317996481345043
3,145,3.317996481345043
4,146,3.317996481345043
5,147,3.317996481345043
6,148,3.317996481345043
7,149,3.3171296880311183
8,150,3.317996481345043
9,151,3.317996481345043
10,152,3.317996481345043
11,153,3.317996481345043
12,154,3.317996481345043
13,155,3.317996481345043
14,156,3.317996481345043
15,157,3.317996481345043
16,158,3.317996481345043
17,159,3.317996481345043
18,160,3.317996481345043
19,161,3.317996481345043
20,162,3.317996481345043
21,163,3.317996481345043
22,164,3.317996481345043
23,165,3.317996481345043
24,166,3.317996481345043
25,167,3.317996481345043
26,168,3.317996481345043
27,169,3.317996481345043
28,170,3.317996481345043
29,171,3.317996481345043
30,172,3.316827467431005
31,173,3.315108349377327
32,174,3.316380603706478
33,175,3.3157900983641433
34,176,3.311901333444252
35,177,3.3151766862217578
36,178,3.317996481345043
37,179,3.317939800332824
38,180,3.317996481345043
39,181,3.315325377989902
40,182,3.3113564712328096
41,183,3.3154570654543805
42,184,3.317875490823472
43,185,3.317996481345043
44,186,3.317996481345043
45,187,3.317996481345043
46,188,3.317996481345043
47,189,3.317996481345043
48,190,3.317996481345043
49,191,3.317996481345043
50,192,3.317996481345043
51,193,3.317996481345043
52,194,3.317996481345043
53,195,3.317996481345043
54,196,3.317996481345043
55,197,3.317996481345043
56,198,3.317996481345043
57,199,3.317996481345043
58,200,3.317996481345043
59,201,3.317996481345043
60,202,3.317996481345043
61,203,3.317996481345043
62,204,3.317996481345043
63,205,3.317996481345043
64,206,3.317996481345043
65,207,3.317996481345043
66,208,3.317996481345043
67,209,3.317996481345043
68,210,3.317996481345043
69,211,3.3177573769698143
70,212,3.3179017217731115
71,213,3.3175734406925685
72,214,3.317996481345043
73,215,3.317996481345043
74,216,3.3177650267755987
75,217,3.316466307101645
76,218,3.315608229026065
77,219,3.31599500235418
78,220,3.3153327294745694
79,221,3.3125986377464516
80,222,3.3139917973625685
81,223,3.314228472551559
82,224,3.3124535045230594
83,225,3.31421016842017
84,226,3.3175271796107917
85,227,3.317996481345043
86,228,3.3159081482918475
87,229,3.3113299206534017
88,230,3.3080516485906797
89,231,3.3085481401638757
90,232,3.3106928132908706
91,233,3.3109522248107024
92,234,3.3130169052610547
93,235,3.311745162339533
94,236,3.312483187474195
95,237,3.3131921476086066
96,238,3.3166166822532346
97,239,3.317996481345043
98,240,3.317996481345043
99,241,3.317996481345043
100,242,3.317996481345043
101,243,3.317996481345043
102,244,3.317996481345043
103,245,3.317996481345043
104,246,3.317996481345043
105,247,3.317996481345043
106,248,3.317996481345043
107,249,3.317996481345043
108,250,3.317996481345043
109,251,3.317996481345043
110,252,3.317996481345043
111,253,3.317996481345043
112,254,3.317996481345043
113,255,3.317996481345043
114,256,3.317996481345043
115,257,3.317996481345043
116,258,3.317996481345043
117,259,3.317996481345043
118,260,3.317996481345043
119,261,3.317996481345043
120,262,3.317996481345043
121,263,3.317996481345043
122,264,3.317996481345043
123,265,3.317996481345043
124,266,3.315183014891167
125,267,3.3153006812631496
126,268,3.310388483134288
127,269,3.3033330182494107
128,270,3.3067713609000227
129,271,3.3041440468231187
130,272,3.305064708407303
131,273,3.3043039682504505
132,274,3.2945298391009317
133,275,3.2954977206561975
134,276,3.2960538977614324
135,277,3.3036827784503737
136,278,3.303255966166635
137,279,3.299518173040567
138,280,3.300691022511823
139,281,3.3003844123295605
140,282,3.30221043588636
141,283,3.3048051477269125
142,284,3.3079380095537765
143,285,3.309359744071166
144,286,3.308528791908577
145,287,3.3091692447293477
146,288,3.309027797902615
147,289,3.308634184497462
148,290,3.3086852826430637
149,291,3.308664996807112
150,292,3.3107744254250053
151,293,3.317996481345043
152,294,3.317996481345043
153,295,3.317996481345043
