caseid,midprice
143,3.3484047434105646
144,3.3487524328149774
145,3.3484261694753212
146,3.348493598851673
147,3.347901428793834
148,3.3486165274080055
149,3.346466902524631
150,3.348715917388247
151,3.3486724052966066
152,3.348722724890718
153,3.3489598324946845
154,3.3485446725326398
155,3.3487519478614334
156,3.348839817030405
157,3.370504624076391
158,3.350148972397383
159,3.3695592860674504
160,3.349703046325747
161,3.347922551469887
162,3.3482721826402466
163,3.348381847981003
164,3.3479074301104776
165,3.3484165997561814
166,3.3478435532093824
167,3.3484135291838695
168,3.348403156450049
169,3.348289422528256
170,3.348166638170503
171,3.3484064108750284
172,3.3470799868836387
173,3.3450465950362505
174,3.345905895622204
175,3.344823062744089
176,3.34326332302455
177,3.345292711074366
178,3.34812470560595
179,3.348142968906461
180,3.3479587917510374
181,3.3436605346368338
182,3.3402386685383503
183,3.344081512217662
184,3.3481086670437383
185,3.34841578212609
186,3.3484640284421334
187,3.348375083756577
188,3.348408963829783
189,3.366075097401537
190,3.3484223808629054
191,3.3485527021345765
192,3.34834908099474
193,3.348381227008614
194,3.3484961629776917
195,3.3484315888029026
196,3.3538670149415255
197,3.348546468544637
198,3.3477512417915927
199,3.3480377903062535
200,3.348552365851406
201,3.34853330967458
202,3.3482894749979244
203,3.348560153003514
204,3.3477704231530043
205,3.3483793002856586
206,3.348096884605342
207,3.3485142817230544
208,3.348256753008969
209,3.347956163410124
210,3.3483950796757957
211,3.3482973039570014
212,3.348148816138901
213,3.348249436982302
214,3.347703038002124
215,3.348316318868436
216,3.3474489044497053
217,3.3467098511637348
218,3.345893541933362
219,3.3458764215118895
220,3.342709502745103
221,3.339967591077646
222,3.340063120515428
223,3.3401225704987962
224,3.340110095615337
225,3.340112156890327
226,3.347665040247987
227,3.3485625835712645
228,3.3466338483639366
229,3.3398109704095686
230,3.3359450198009353
231,3.335583524458538
232,3.3382596203978654
233,3.338469129511691
234,3.3400265339173916
235,3.3398786682486077
236,3.3398004340724463
237,3.340029257226334
238,3.3473414346500725
239,3.347917330344764
240,3.3478350262587235
241,3.3478979237919724
242,3.3484956501920955
243,3.3480223992181126
244,3.364560510351322
245,3.3704666846034717
246,3.3755977951024443
247,3.3704666846034717
248,3.370504624076391
249,3.370504624076391
250,3.3706185828436785
251,3.3754670650481344
252,3.3745601867602
253,3.3706185828436785
254,3.370504624076391
255,3.3489676501667343
256,3.3487812474055723
257,3.3488693830221674
258,3.3485580350813606
259,3.3485416732944384
260,3.34852653645144
261,3.3483419102568552
262,3.3479636579863516
263,3.348233912232863
264,3.3484045574090655
265,3.347820098690009
266,3.344342782542681
267,3.3445013814081155
268,3.3400248976916176
269,3.330188018785606
270,3.334479642427071
271,3.3330191311589754
272,3.332849811774692
273,3.333188455410672
274,3.319280056420487
275,3.3214317567721423
276,3.3227370122951156
277,3.3310897662493475
278,3.330391439507708
279,3.326693264156276
280,3.3269697303791133
281,3.328406332691816
282,3.328440583158365
283,3.334451923937708
284,3.3366059074952794
285,3.3377289657670057
286,3.336719697679092
287,3.3377493718021944
288,3.3378207518192213
289,3.3356011538045243
290,3.3359634548032706
291,3.3360660869424654
292,3.3381315491776427
293,3.348564264806714
294,3.348015898495106
295,3.348157996710319
296,3.3483468730796435
297,3.3482979382483062
298,3.3486387497427335
299,3.3469299983217313
300,3.3467774690737504
301,3.346801636569516
302,3.342493166148347
303,3.3433670864037444
304,3.3459203457193674
305,3.3386375388396132
306,3.3375153108054265
307,3.3386141570487142
308,3.3391292691396064
309,3.339567029965525
310,3.3388150837421566
311,3.3484037515445046
312,3.3483530318896157
313,3.3473756161951522
314,3.343362035116354
315,3.339946833497458
316,3.3395034544118323
317,3.3374935685282834
318,3.339815660640687
319,3.338469129511691
320,3.3429591559439182
321,3.3468922463530872
322,3.3447003750401008
323,3.342923606053554
324,3.3400366175072125
325,3.3400467733592016
326,3.3400366175072125
327,3.3375488674539917
328,3.3354692146251272
329,3.33819325921531
330,3.3375412214060307
331,3.3397406984092
332,3.340081019499141
333,3.2434132616103972
334,3.247594300918421
335,3.2616085515510056
336,3.255154000672434
337,3.2541277426971518
338,3.262346557133295
339,3.2564699025672383
340,3.26034665915287
341,3.265229645053977
